id,name,full_name,set,price,trade_in_price,max_cards,in_stock,qualities
134814,Archangel of Thune,Archangel of Thune (Foil) (Extended Art),Secret Lair Drop,1200,700,-1,0,"{'borderless': False, 'foil': True, 'extended_art': True, 'showcase': False}"
134812,Commander's Plate,Commander's Plate (Foil) (Extended Art),Secret Lair Drop,800,450,-1,0,"{'borderless': False, 'foil': True, 'extended_art': True, 'showcase': False}"
92202,Meren of Clan Nel Toth,Meren of Clan Nel Toth (Foil) (Borderless),Secret Lair Drop,700,400,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
79119,"Purphoros, God of the Forge","Purphoros, God of the Forge",Secret Lair Drop,600,350,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
75717,Bitterblossom,Bitterblossom,Secret Lair Drop Series,550,310,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
92346,Amulet of Vigor,Amulet of Vigor (Foil),Secret Lair Drop,500,280,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
141122,Trinisphere,Trinisphere (Alternate art) (Foil),Secret Lair Drop,450,250,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92185,Leonin Warleader,Leonin Warleader (Foil),Secret Lair Drop,450,260,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
79111,Meren of Clan Nel Toth,Meren of Clan Nel Toth,Secret Lair Drop,400,225,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
79101,Captain Sisay,Captain Sisay (Foil) (Borderless),Secret Lair Drop,400,225,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
140993,Serra Ascendant,Serra Ascendant (Foil) (Borderless),Secret Lair Drop,380,200,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
92373,"Heliod, Sun-Crowned","Heliod, Sun-Crowned (Borderless)",Secret Lair Drop,360,200,-1,0,"{'borderless': True, 'foil': False, 'extended_art': False, 'showcase': False}"
92450,"Liliana, Dreadhorde General","Liliana, Dreadhorde General (Foil)",Secret Lair Drop,350,200,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
145429,"Jeska, Thrice Reborn","Jeska, Thrice Reborn (Foil)",Secret Lair Drop,340,185,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
75726,Life from the Loam,Life from the Loam,Secret Lair Drop Series,340,180,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
140805,Sol Ring,Sol Ring (Borderless),Secret Lair Drop,340,170,-1,0,"{'borderless': True, 'foil': False, 'extended_art': False, 'showcase': False}"
140806,Sol Ring,Sol Ring (Foil) (Borderless),Secret Lair Drop,320,175,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
141021,"Elspeth, Sun's Champion","Elspeth, Sun's Champion (Foil) (Borderless)",Secret Lair Drop,300,150,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
79109,"Kruphix, God of Horizons","Kruphix, God of Horizons",Secret Lair Drop,300,150,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
140083,Sliver Hivelord,Sliver Hivelord,Secret Lair Drop,280,140,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
134811,Serra Ascendant,Serra Ascendant,Secret Lair Drop,280,150,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
141020,"Elspeth, Sun's Champion","Elspeth, Sun's Champion (Borderless)",Secret Lair Drop,270,150,-1,0,"{'borderless': True, 'foil': False, 'extended_art': False, 'showcase': False}"
92205,Saskia the Unyielding,Saskia the Unyielding (Foil) (Borderless),Secret Lair Drop,270,150,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
141104,"K'rrik, Son of Yawgmoth","K'rrik, Son of Yawgmoth (Foil)",Secret Lair Drop,270,150,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
146181,Time Sieve,Time Sieve (Foil) (Borderless),Secret Lair Drop,270,150,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
140433,Seize the Day,Seize the Day (Foil),Secret Lair Drop,270,150,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
140817,Swords to Plowshares,Swords to Plowshares,Secret Lair Drop,260,140,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
140999,Winds of Change,Winds of Change (Foil) (Borderless),Secret Lair Drop,260,140,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
79100,"Athreos, God of Passage","Athreos, God of Passage",Secret Lair Drop,250,150,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
136734,"Sorin, Imperious Bloodlord","Sorin, Imperious Bloodlord (Foil)",Secret Lair Drop,250,125,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92416,Sol Ring,Sol Ring (Foil) (Borderless),Secret Lair Drop,250,150,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
81383,Swan Song,Swan Song,Secret Lair Drop,250,140,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
92390,Grave Titan,Grave Titan (Foil) (Showcase),Secret Lair Drop,230,145,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': True}"
92482,Gisa's Favorite Shovel,Gisa's Favorite Shovel (Foil),Secret Lair Drop,220,120,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92366,Chromatic Lantern,Chromatic Lantern (Foil),Secret Lair Drop,220,145,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92328,"Malik, Grim Manipulator","Malik, Grim Manipulator (Foil)",Secret Lair Drop,190,120,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
79114,"Nylea, God of the Hunt","Nylea, God of the Hunt (Foil) (Showcase)",Secret Lair Drop,190,110,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': True}"
92353,Gamble,Gamble (Borderless),Secret Lair Drop,190,110,-1,0,"{'borderless': True, 'foil': False, 'extended_art': False, 'showcase': False}"
92217,"Heliod, God of the Sun","Heliod, God of the Sun (Foil) (Showcase)",Secret Lair Drop,180,100,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': True}"
92372,Gilded Lotus,Gilded Lotus (Foil),Secret Lair Drop,180,100,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
81365,Eternal Witness,Eternal Witness,Secret Lair Drop,180,100,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
81358,Arcbound Ravager,Arcbound Ravager (Foil),Secret Lair Drop,180,100,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
141123,Winter Orb,Winter Orb (Alternate art) (Foil),Secret Lair Drop,170,90,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
141124,Sphere of Resistance,Sphere of Resistance (Alternate art) (Foil),Secret Lair Drop,170,90,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92320,Decimate,Decimate (Borderless),Secret Lair Drop,160,80,-1,0,"{'borderless': True, 'foil': False, 'extended_art': False, 'showcase': False}"
92412,"Kaya, Ghost Assassin","Kaya, Ghost Assassin (Foil) (Borderless)",Secret Lair Drop,150,80,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
92326,"Gregor, Shrewd Magistrate","Gregor, Shrewd Magistrate (Foil)",Secret Lair Drop,150,75,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
134813,Court of Grace,Court of Grace (Foil) (Extended Art),Secret Lair Drop,150,80,-1,0,"{'borderless': False, 'foil': True, 'extended_art': True, 'showcase': False}"
146173,Aetherize,Aetherize (Foil) (Borderless),Secret Lair Drop,150,80,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
140517,"Wrexial, the Risen Deep","Wrexial, the Risen Deep (Foil)",Secret Lair Drop,140,70,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
134815,Archangel of Tithes,Archangel of Tithes (Foil),Secret Lair Drop,140,70,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
